Detected	Gain	Correct Count	Step Size	Subject Number	Height	Age	Sex	RA Name	Other
True	-0.7499999	3	0.05				Male		
False	0.6999999	3	0.05				Male		
False	-0.6499999	3	0.05				Male		
False	0.5999999	3	0.05				Male		
True	-0.5499999	4	0.05				Male		
True	1	1	0.05				Male		
True	-0.95	2	0.05				Male		
True	0.9	3	0.05				Male		
True	-0.85	4	0.05				Male		
False	0.8	4	0.05				Male		
False	-0.7499999	4	0.05				Male		
False	0.6999999	4	0.05				Male		
False	-0.6499999	4	0.05				Male		
False	0.5999999	4	0.05				Male		
False	-0.5499999	4	0.05				Male		
False	1	0	0.05				Male		
False	-0.95	0	0.05				Male		
False	0.9	0	0.05				Male		
False	-0.85	0	0.05				Male		
False	0.8	0	0.05				Male		
True	-0.7499999	1	0.05				Male		
False	0.6999999	1	0.05				Male		
True	-0.6499999	2	0.05				Male		
False	0.5999999	2	0.05				Male		
True	-0.5499999	3	0.05				Male		
False	1	0	0.05				Male		
True	-0.95	1	0.05				Male		
False	0.9	1	0.05				Male		
True	-0.85	2	0.05				Male		
True	0.8	3	0.05				Male		
True	-0.7499999	4	0.05				Male		
True	0.6999999	5	0.05				Male		
True	-0.6499999	6	0.05				Male		
True	0.5999999	7	0.05				Male		
True	-0.5499999	8	0.05				Male		
True	0.6	1	0.03				Male		
False	-0.5700001	1	0.03				Male		
False	0.5400001	1	0.03				Male		
True	-0.5100001	2	0.03				Male		
True	0.4800001	3	0.03				Male		
False	-0.4500001	3	0.03				Male		
False	0.4200001	3	0.03				Male		
False	-0.3900001	3	0.03				Male		
True	0.3600001	4	0.03				Male		
False	-0.3300001	4	0.03				Male		
True	0.6	1	0.03				Male		
False	-0.5700001	1	0.03				Male		
True	0.5400001	2	0.03				Male		
False	-0.5100001	2	0.03				Male		
True	0.4800001	3	0.03				Male		
True	-0.4500001	4	0.03				Male		
True	0.4200001	5	0.03				Male		
False	-0.3900001	5	0.03				Male		
False	0.3600001	5	0.03				Male		
False	-0.3300001	5	0.03				Male		
True	0.6	1	0.03				Male		
False	-0.5700001	1	0.03				Male		
False	0.5400001	1	0.03				Male		
True	-0.5100001	2	0.03				Male		
True	0.4800001	3	0.03				Male		
False	-0.4500001	3	0.03				Male		
True	0.4200001	4	0.03				Male		
True	-0.3900001	5	0.03				Male		
False	0.3600001	5	0.03				Male		
False	-0.3300001	5	0.03				Male		
False	0.6	0	0.03				Male		
True	-0.5700001	1	0.03				Male		
True	0.5400001	2	0.03				Male		
True	-0.5100001	3	0.03				Male		
True	0.4800001	4	0.03				Male		
True	-0.4500001	5	0.03				Male		
